,ZCTA Code,the_geom,polygon_geom,centroid,geojson,Positive,Total,zcta_cum.perc_pos
0,10280,"MULTIPOLYGON (((-74.01858899999999 40.712201, -74.016508 40.713224, -74.01736799999999 40.713378, -74.016198 40.714766999999995, -74.01359699999999 40.713623, -74.014697 40.709779, -74.015956 40.70668, -74.016131 40.706244, -74.017575 40.70684, -74.018008 40.705664999999996, -74.016628 40.704799, -74.015678 40.70125600000001, -74.0142519151327 40.7003146857495, -74.0168 40.701794, -74.0194854329352 40.70690774995101, -74.01858899999999 40.712201)))","POLYGON ((-74.01858899999999 40.712201, -74.016508 40.713224, -74.01736799999999 40.713378, -74.016198 40.714766999999995, -74.01359699999999 40.713623, -74.014697 40.709779, -74.015956 40.70668, -74.016131 40.706244, -74.017575 40.70684, -74.018008 40.705664999999996, -74.016628 40.704799, -74.015678 40.70125600000001, -74.0142519151327 40.7003146857495, -74.0168 40.701794, -74.0194854329352 40.70690774995101, -74.01858899999999 40.712201))",POINT (-74.01690924352604 40.71025141632766),"{""type"": ""Polygon"", ""coordinates"": [[[-74.01858899999999, 40.712201], [-74.016508, 40.713224], [-74.01736799999999, 40.713378], [-74.016198, 40.714766999999995], [-74.01359699999999, 40.713623], [-74.014697, 40.709779], [-74.015956, 40.70668], [-74.016131, 40.706244], [-74.017575, 40.70684], [-74.018008, 40.705664999999996], [-74.016628, 40.704799], [-74.015678, 40.70125600000001], [-74.0142519151327, 40.7003146857495], [-74.0168, 40.701794], [-74.0194854329352, 40.70690774995101], [-74.01858899999999, 40.712201]]]}",27,79.0,34.18
1,11358,"MULTIPOLYGON (((-73.807514 40.762178999999996, -73.80720699999999 40.768294999999995, -73.805356 40.771094999999995, -73.806153 40.772209, -73.804279 40.772061, -73.803985 40.77419, -73.803887 40.774901, -73.79271299999999 40.773787999999996, -73.791635 40.774239, -73.789309 40.76970800000001, -73.78516800000001 40.761433, -73.785902 40.759748, -73.784471 40.759864, -73.78008799999999 40.752494, -73.781212 40.751507, -73.792305 40.748366, -73.794815 40.748422, -73.795665 40.750236, -73.79729499999999 40.749435000000005, -73.798023 40.748729999999995, -73.80287799999999 40.749783, -73.807506 40.750136999999995, -73.809135 40.750268999999996, -73.807514 40.762178999999996)))","POLYGON ((-73.807514 40.762178999999996, -73.80720699999999 40.768294999999995, -73.805356 40.771094999999995, -73.806153 40.772209, -73.804279 40.772061, -73.803985 40.77419, -73.803887 40.774901, -73.79271299999999 40.773787999999996, -73.791635 40.774239, -73.789309 40.76970800000001, -73.78516800000001 40.761433, -73.785902 40.759748, -73.784471 40.759864, -73.78008799999999 40.752494, -73.781212 40.751507, -73.792305 40.748366, -73.794815 40.748422, -73.795665 40.750236, -73.79729499999999 40.749435000000005, -73.798023 40.748729999999995, -73.80287799999999 40.749783, -73.807506 40.750136999999995, -73.809135 40.750268999999996, -73.807514 40.762178999999996))",POINT (-73.79669671875001 40.76080428125),"{""type"": ""Polygon"", ""coordinates"": [[[-73.807514, 40.762178999999996], [-73.80720699999999, 40.768294999999995], [-73.805356, 40.771094999999995], [-73.806153, 40.772209], [-73.804279, 40.772061], [-73.803985, 40.77419], [-73.803887, 40.774901], [-73.79271299999999, 40.773787999999996], [-73.791635, 40.774239], [-73.789309, 40.76970800000001], [-73.78516800000001, 40.761433], [-73.785902, 40.759748], [-73.784471, 40.759864], [-73.78008799999999, 40.752494], [-73.781212, 40.751507], [-73.792305, 40.748366], [-73.794815, 40.748422], [-73.795665, 40.750236], [-73.79729499999999, 40.749435000000005], [-73.798023, 40.748729999999995], [-73.80287799999999, 40.749783], [-73.807506, 40.750136999999995], [-73.809135, 40.750268999999996], [-73.807514, 40.762178999999996]]]}",259,504.0,51.39
2,11225,"MULTIPOLYGON (((-73.96289399999999 40.663798, -73.962429 40.663125, -73.960956 40.663284999999995, -73.962622 40.671628999999996, -73.957974 40.670657, -73.955269 40.670125, -73.94773099999999 40.669705, -73.947818 40.668783999999995, -73.948067 40.666139, -73.942528 40.665838, -73.942696 40.664055, -73.940029 40.663021, -73.942829 40.662847, -73.942611 40.66061, -73.947676 40.660297, -73.94726399999999 40.656437, -73.95309400000001 40.656508, -73.95934299999999 40.655983, -73.959861 40.655635, -73.9619 40.654871, -73.96317499999999 40.655674999999995, -73.962807 40.656877, -73.965025 40.662172999999996, -73.96289399999999 40.663798)))","POLYGON ((-73.96289399999999 40.663798, -73.962429 40.663125, -73.960956 40.663284999999995, -73.962622 40.671628999999996, -73.957974 40.670657, -73.955269 40.670125, -73.94773099999999 40.669705, -73.947818 40.668783999999995, -73.948067 40.666139, -73.942528 40.665838, -73.942696 40.664055, -73.940029 40.663021, -73.942829 40.662847, -73.942611 40.66061, -73.947676 40.660297, -73.94726399999999 40.656437, -73.95309400000001 40.656508, -73.95934299999999 40.655983, -73.959861 40.655635, -73.9619 40.654871, -73.96317499999999 40.655674999999995, -73.962807 40.656877, -73.965025 40.662172999999996, -73.96289399999999 40.663798))",POINT (-73.95431249265435 40.663038155147255),"{""type"": ""Polygon"", ""coordinates"": [[[-73.96289399999999, 40.663798], [-73.962429, 40.663125], [-73.960956, 40.663284999999995], [-73.962622, 40.671628999999996], [-73.957974, 40.670657], [-73.955269, 40.670125], [-73.94773099999999, 40.669705], [-73.947818, 40.668783999999995], [-73.948067, 40.666139], [-73.942528, 40.665838], [-73.942696, 40.664055], [-73.940029, 40.663021], [-73.942829, 40.662847], [-73.942611, 40.66061], [-73.947676, 40.660297], [-73.94726399999999, 40.656437], [-73.95309400000001, 40.656508], [-73.95934299999999, 40.655983], [-73.959861, 40.655635], [-73.9619, 40.654871], [-73.96317499999999, 40.655674999999995], [-73.962807, 40.656877], [-73.965025, 40.662172999999996], [-73.96289399999999, 40.663798]]]}",573,905.0,63.31
3,11221,"MULTIPOLYGON (((-73.948185 40.690242, -73.945349 40.690567, -73.945642 40.692033, -73.939971 40.692683, -73.937195 40.693751999999996, -73.937049 40.693021, -73.934134 40.693355, -73.934797 40.696737, -73.935222 40.696985999999995, -73.93400799999999 40.697117999999996, -73.927797 40.699585, -73.929035 40.700289999999995, -73.927588 40.701761999999995, -73.917818 40.696208, -73.91636799999999 40.69768, -73.913361 40.695969999999996, -73.911806 40.697554, -73.910303 40.6967, -73.91185999999999 40.695115, -73.908853 40.693405, -73.916046 40.686071999999996, -73.91804599999999 40.687213, -73.91799600000002 40.686965, -73.920495 40.685928, -73.92367 40.685964, -73.93789199999999 40.684331, -73.938223 40.683893999999995, -73.943962 40.683600999999996, -73.945056 40.689102, -73.947893 40.688776, -73.948185 40.690242)))","POLYGON ((-73.948185 40.690242, -73.945349 40.690567, -73.945642 40.692033, -73.939971 40.692683, -73.937195 40.693751999999996, -73.937049 40.693021, -73.934134 40.693355, -73.934797 40.696737, -73.935222 40.696985999999995, -73.93400799999999 40.697117999999996, -73.927797 40.699585, -73.929035 40.700289999999995, -73.927588 40.701761999999995, -73.917818 40.696208, -73.91636799999999 40.69768, -73.913361 40.695969999999996, -73.911806 40.697554, -73.910303 40.6967, -73.91185999999999 40.695115, -73.908853 40.693405, -73.916046 40.686071999999996, -73.91804599999999 40.687213, -73.91799600000002 40.686965, -73.920495 40.685928, -73.92367 40.685964, -73.93789199999999 40.684331, -73.938223 40.683893999999995, -73.943962 40.683600999999996, -73.945056 40.689102, -73.947893 40.688776, -73.948185 40.690242))",POINT (-73.92605128125001 40.69324903124999),"{""type"": ""Polygon"", ""coordinates"": [[[-73.948185, 40.690242], [-73.945349, 40.690567], [-73.945642, 40.692033], [-73.939971, 40.692683], [-73.937195, 40.693751999999996], [-73.937049, 40.693021], [-73.934134, 40.693355], [-73.934797, 40.696737], [-73.935222, 40.696985999999995], [-73.93400799999999, 40.697117999999996], [-73.927797, 40.699585], [-73.929035, 40.700289999999995], [-73.927588, 40.701761999999995], [-73.917818, 40.696208], [-73.91636799999999, 40.69768], [-73.913361, 40.695969999999996], [-73.911806, 40.697554], [-73.910303, 40.6967], [-73.91185999999999, 40.695115], [-73.908853, 40.693405], [-73.916046, 40.686071999999996], [-73.91804599999999, 40.687213], [-73.91799600000002, 40.686965], [-73.920495, 40.685928], [-73.92367, 40.685964], [-73.93789199999999, 40.684331], [-73.938223, 40.683893999999995], [-73.943962, 40.683600999999996], [-73.945056, 40.689102], [-73.947893, 40.688776], [-73.948185, 40.690242]]]}",586,963.0,60.85
4,11411,"MULTIPOLYGON (((-73.74864300000002 40.701586999999996, -73.743307 40.70296, -73.74309099999999 40.702397, -73.738233 40.701885, -73.732354 40.702419, -73.727707 40.701565, -73.727516 40.697196, -73.726503 40.696886, -73.725926 40.68622500000001, -73.725798 40.684354, -73.725861 40.683223, -73.73222 40.685120999999995, -73.737585 40.686408, -73.74745 40.689350999999995, -73.74722 40.689715, -73.74812299999999 40.690131, -73.745283 40.694115, -73.74619 40.696118999999996, -73.74864300000002 40.701586999999996)))","POLYGON ((-73.74864300000002 40.701586999999996, -73.743307 40.70296, -73.74309099999999 40.702397, -73.738233 40.701885, -73.732354 40.702419, -73.727707 40.701565, -73.727516 40.697196, -73.726503 40.696886, -73.725926 40.68622500000001, -73.725798 40.684354, -73.725861 40.683223, -73.73222 40.685120999999995, -73.737585 40.686408, -73.74745 40.689350999999995, -73.74722 40.689715, -73.74812299999999 40.690131, -73.745283 40.694115, -73.74619 40.696118999999996, -73.74864300000002 40.701586999999996))",POINT (-73.7350738125 40.69432506249999),"{""type"": ""Polygon"", ""coordinates"": [[[-73.74864300000002, 40.701586999999996], [-73.743307, 40.70296], [-73.74309099999999, 40.702397], [-73.738233, 40.701885], [-73.732354, 40.702419], [-73.727707, 40.701565], [-73.727516, 40.697196], [-73.726503, 40.696886], [-73.725926, 40.68622500000001], [-73.725798, 40.684354], [-73.725861, 40.683223], [-73.73222, 40.685120999999995], [-73.737585, 40.686408], [-73.74745, 40.689350999999995], [-73.74722, 40.689715], [-73.74812299999999, 40.690131], [-73.745283, 40.694115], [-73.74619, 40.696118999999996], [-73.74864300000002, 40.701586999999996]]]}",371,532.0,69.74
5,11233,"MULTIPOLYGON (((-73.93789199999999 40.684331, -73.92367 40.685964, -73.920495 40.685928, -73.91799600000002 40.686965, -73.91804599999999 40.687213, -73.916046 40.686071999999996, -73.904046 40.67922, -73.903466 40.678897, -73.904688 40.677943, -73.903475 40.675506999999996, -73.914873 40.670533, -73.92004399999999 40.669137, -73.918382 40.669002, -73.922753 40.667097999999996, -73.92438899999999 40.666385, -73.925539 40.668493, -73.924996 40.674735999999996, -73.93045699999999 40.675818, -73.929058 40.679277, -73.93435099999999 40.679564, -73.937398 40.67973, -73.938223 40.683893999999995, -73.93789199999999 40.684331)))","POLYGON ((-73.93789199999999 40.684331, -73.92367 40.685964, -73.920495 40.685928, -73.91799600000002 40.686965, -73.91804599999999 40.687213, -73.916046 40.686071999999996, -73.904046 40.67922, -73.903466 40.678897, -73.904688 40.677943, -73.903475 40.675506999999996, -73.914873 40.670533, -73.92004399999999 40.669137, -73.918382 40.669002, -73.922753 40.667097999999996, -73.92438899999999 40.666385, -73.925539 40.668493, -73.924996 40.674735999999996, -73.93045699999999 40.675818, -73.929058 40.679277, -73.93435099999999 40.679564, -73.937398 40.67973, -73.938223 40.683893999999995, -73.93789199999999 40.684331))",POINT (-73.91804587499999 40.677449875),"{""type"": ""Polygon"", ""coordinates"": [[[-73.93789199999999, 40.684331], [-73.92367, 40.685964], [-73.920495, 40.685928], [-73.91799600000002, 40.686965], [-73.91804599999999, 40.687213], [-73.916046, 40.686071999999996], [-73.904046, 40.67922], [-73.903466, 40.678897], [-73.904688, 40.677943], [-73.903475, 40.675506999999996], [-73.914873, 40.670533], [-73.92004399999999, 40.669137], [-73.918382, 40.669002], [-73.922753, 40.667097999999996], [-73.92438899999999, 40.666385], [-73.925539, 40.668493], [-73.924996, 40.674735999999996], [-73.93045699999999, 40.675818], [-73.929058, 40.679277], [-73.93435099999999, 40.679564], [-73.937398, 40.67973], [-73.938223, 40.683893999999995], [-73.93789199999999, 40.684331]]]}",534,881.0,60.61
6,11220,"MULTIPOLYGON (((-74.038336 40.637074, -74.03585910791371 40.6407893381295, -74.03351683155289 40.6443027526705, -74.03264399999999 40.6438, -74.030498 40.6453, -74.02825500000002 40.644053, -74.02606 40.646260999999996, -74.029294 40.64874, -74.025468 40.646833, -74.024065 40.647597999999995, -74.025637 40.649753, -74.024406 40.650922, -74.020877 40.648742999999996, -74.02145999999999 40.648182, -74.019256 40.646853, -74.01343 40.652453, -74.009402 40.652758999999996, -74.01055 40.651634, -74.006241 40.649021999999995, -74.006824 40.648465, -74.002415 40.645809, -74.002111 40.646099, -73.999931 40.644306, -73.997734 40.643409999999996, -73.99917599999999 40.642026, -74.003253 40.638104, -74.000525 40.636455999999995, -74.00124 40.635978, -74.003838 40.637546, -74.00796 40.633584, -74.00702299999999 40.63211, -74.00853699999999 40.633027999999996, -74.01097000000001 40.63068200000001, -74.01270199999999 40.629024, -74.012142 40.628684, -74.012846 40.628656, -74.016048 40.631033, -74.026039 40.635740999999996, -74.035958 40.638821, -74.03607099999999 40.637305999999995, -74.037245 40.635985, -74.03876862940801 40.6357762179167, -74.038336 40.637074)))","POLYGON ((-74.038336 40.637074, -74.03585910791371 40.6407893381295, -74.03351683155289 40.6443027526705, -74.03264399999999 40.6438, -74.030498 40.6453, -74.02825500000002 40.644053, -74.02606 40.646260999999996, -74.029294 40.64874, -74.025468 40.646833, -74.024065 40.647597999999995, -74.025637 40.649753, -74.024406 40.650922, -74.020877 40.648742999999996, -74.02145999999999 40.648182, -74.019256 40.646853, -74.01343 40.652453, -74.009402 40.652758999999996, -74.01055 40.651634, -74.006241 40.649021999999995, -74.006824 40.648465, -74.002415 40.645809, -74.002111 40.646099, -73.999931 40.644306, -73.997734 40.643409999999996, -73.99917599999999 40.642026, -74.003253 40.638104, -74.000525 40.636455999999995, -74.00124 40.635978, -74.003838 40.637546, -74.00796 40.633584, -74.00702299999999 40.63211, -74.00853699999999 40.633027999999996, -74.01097000000001 40.63068200000001, -74.01270199999999 40.629024, -74.012142 40.628684, -74.012846 40.628656, -74.016048 40.631033, -74.026039 40.635740999999996, -74.035958 40.638821, -74.03607099999999 40.637305999999995, -74.037245 40.635985, -74.03876862940801 40.6357762179167, -74.038336 40.637074))",POINT (-74.01391241065801 40.63995428124999),"{""type"": ""Polygon"", ""coordinates"": [[[-74.038336, 40.637074], [-74.03585910791371, 40.6407893381295], [-74.03351683155289, 40.6443027526705], [-74.03264399999999, 40.6438], [-74.030498, 40.6453], [-74.02825500000002, 40.644053], [-74.02606, 40.646260999999996], [-74.029294, 40.64874], [-74.025468, 40.646833], [-74.024065, 40.647597999999995], [-74.025637, 40.649753], [-74.024406, 40.650922], [-74.020877, 40.648742999999996], [-74.02145999999999, 40.648182], [-74.019256, 40.646853], [-74.01343, 40.652453], [-74.009402, 40.652758999999996], [-74.01055, 40.651634], [-74.006241, 40.649021999999995], [-74.006824, 40.648465], [-74.002415, 40.645809], [-74.002111, 40.646099], [-73.999931, 40.644306], [-73.997734, 40.643409999999996], [-73.99917599999999, 40.642026], [-74.003253, 40.638104], [-74.000525, 40.636455999999995], [-74.00124, 40.635978], [-74.003838, 40.637546], [-74.00796, 40.633584], [-74.00702299999999, 40.63211], [-74.00853699999999, 40.633027999999996], [-74.01097000000001, 40.63068200000001], [-74.01270199999999, 40.629024], [-74.012142, 40.628684], [-74.012846, 40.628656], [-74.016048, 40.631033], [-74.026039, 40.635740999999996], [-74.035958, 40.638821], [-74.03607099999999, 40.637305999999995], [-74.037245, 40.635985], [-74.03876862940801, 40.6357762179167], [-74.038336, 40.637074]]]}",695,1109.0,62.67
7,10303,"MULTIPOLYGON (((-74.197 40.632282, -74.196027 40.631563, -74.19251799999999 40.633364, -74.1964546854975 40.6353862362867, -74.1918025434625 40.6398274090899, -74.1894 40.642120999999996, -74.1891166285585 40.6422256218809, -74.1868204209173 40.6430733910176, -74.1824082385683 40.644702386564, -74.180191 40.645520999999995, -74.1786904077589 40.6454197481161, -74.178874 40.643093, -74.178024 40.642806, -74.176724 40.643772999999996, -74.175763 40.643543, -74.17545199999999 40.645116, -74.17398937426769 40.6450376609468, -74.17018700000001 40.642201, -74.1544994311523 40.6391799537161, -74.15433 40.637447, -74.152732 40.638838, -74.149969 40.637572000000006, -74.1488612134467 40.6393017310039, -74.1430961731759 40.639884617773, -74.14518199999999 40.634462, -74.145668 40.63147, -74.14356699999999 40.631878, -74.1457 40.630927, -74.14546299999999 40.627887, -74.14614499999999 40.62493, -74.14876799999999 40.625104, -74.149614 40.622793, -74.151541 40.621202, -74.164068 40.621921, -74.164704 40.619631999999996, -74.167986 40.620971, -74.168725 40.621209, -74.174232 40.619546, -74.176157 40.617796, -74.178894 40.61356800000001, -74.18030999999999 40.612185000000004, -74.17847 40.615575, -74.176653 40.620751999999996, -74.176328 40.623776, -74.17766999999999 40.625066, -74.18377699999999 40.628312, -74.184815 40.627508, -74.185423 40.628664, -74.188206 40.629021, -74.189418 40.630652, -74.190463 40.628873, -74.192251 40.628806999999995, -74.19282799999999 40.630948, -74.19496900000001 40.630959999999995, -74.196699 40.631876999999996, -74.197 40.632282)))","POLYGON ((-74.197 40.632282, -74.196027 40.631563, -74.19251799999999 40.633364, -74.1964546854975 40.6353862362867, -74.1918025434625 40.6398274090899, -74.1894 40.642120999999996, -74.1891166285585 40.6422256218809, -74.1868204209173 40.6430733910176, -74.1824082385683 40.644702386564, -74.180191 40.645520999999995, -74.1786904077589 40.6454197481161, -74.178874 40.643093, -74.178024 40.642806, -74.176724 40.643772999999996, -74.175763 40.643543, -74.17545199999999 40.645116, -74.17398937426769 40.6450376609468, -74.17018700000001 40.642201, -74.1544994311523 40.6391799537161, -74.15433 40.637447, -74.152732 40.638838, -74.149969 40.637572000000006, -74.1488612134467 40.6393017310039, -74.1430961731759 40.639884617773, -74.14518199999999 40.634462, -74.145668 40.63147, -74.14356699999999 40.631878, -74.1457 40.630927, -74.14546299999999 40.627887, -74.14614499999999 40.62493, -74.14876799999999 40.625104, -74.149614 40.622793, -74.151541 40.621202, -74.164068 40.621921, -74.164704 40.619631999999996, -74.167986 40.620971, -74.168725 40.621209, -74.174232 40.619546, -74.176157 40.617796, -74.178894 40.61356800000001, -74.18030999999999 40.612185000000004, -74.17847 40.615575, -74.176653 40.620751999999996, -74.176328 40.623776, -74.17766999999999 40.625066, -74.18377699999999 40.628312, -74.184815 40.627508, -74.185423 40.628664, -74.188206 40.629021, -74.189418 40.630652, -74.190463 40.628873, -74.192251 40.628806999999995, -74.19282799999999 40.630948, -74.19496900000001 40.630959999999995, -74.196699 40.631876999999996, -74.197 40.632282))",POINT (-74.16939362500001 40.631457375000004),"{""type"": ""Polygon"", ""coordinates"": [[[-74.197, 40.632282], [-74.196027, 40.631563], [-74.19251799999999, 40.633364], [-74.1964546854975, 40.6353862362867], [-74.1918025434625, 40.6398274090899], [-74.1894, 40.642120999999996], [-74.1891166285585, 40.6422256218809], [-74.1868204209173, 40.6430733910176], [-74.1824082385683, 40.644702386564], [-74.180191, 40.645520999999995], [-74.1786904077589, 40.6454197481161], [-74.178874, 40.643093], [-74.178024, 40.642806], [-74.176724, 40.643772999999996], [-74.175763, 40.643543], [-74.17545199999999, 40.645116], [-74.17398937426769, 40.6450376609468], [-74.17018700000001, 40.642201], [-74.1544994311523, 40.6391799537161], [-74.15433, 40.637447], [-74.152732, 40.638838], [-74.149969, 40.637572000000006], [-74.1488612134467, 40.6393017310039], [-74.1430961731759, 40.639884617773], [-74.14518199999999, 40.634462], [-74.145668, 40.63147], [-74.14356699999999, 40.631878], [-74.1457, 40.630927], [-74.14546299999999, 40.627887], [-74.14614499999999, 40.62493], [-74.14876799999999, 40.625104], [-74.149614, 40.622793], [-74.151541, 40.621202], [-74.164068, 40.621921], [-74.164704, 40.619631999999996], [-74.167986, 40.620971], [-74.168725, 40.621209], [-74.174232, 40.619546], [-74.176157, 40.617796], [-74.178894, 40.61356800000001], [-74.18030999999999, 40.612185000000004], [-74.17847, 40.615575], [-74.176653, 40.620751999999996], [-74.176328, 40.623776], [-74.17766999999999, 40.625066], [-74.18377699999999, 40.628312], [-74.184815, 40.627508], [-74.185423, 40.628664], [-74.188206, 40.629021], [-74.189418, 40.630652], [-74.190463, 40.628873], [-74.192251, 40.628806999999995], [-74.19282799999999, 40.630948], [-74.19496900000001, 40.630959999999995], [-74.196699, 40.631876999999996], [-74.197, 40.632282]]]}",412,736.0,55.98
8,11367,"MULTIPOLYGON (((-73.84525 40.740166, -73.841925 40.741763999999996, -73.835925 40.743500999999995, -73.827083 40.742642, -73.82498 40.743106, -73.821201 40.740921, -73.81653000000001 40.739601, -73.815128 40.739922, -73.815057 40.738987, -73.813222 40.73876, -73.80941399999999 40.738603, -73.810482 40.736992, -73.81239099999999 40.737066999999996, -73.812122 40.733748999999996, -73.810687 40.733681999999995, -73.812279 40.73222, -73.810886 40.727171999999996, -73.809342 40.720957, -73.809786 40.719722, -73.80904 40.719912, -73.80860500000001 40.71841500000001, -73.811835 40.717873, -73.812118 40.719062, -73.819305 40.717135999999996, -73.820054 40.716809999999995, -73.82556699999999 40.716150999999996, -73.829684 40.716945, -73.83161199999999 40.717831, -73.83583899999999 40.722533999999996, -73.837768 40.726697, -73.839607 40.729133, -73.842748 40.732113, -73.844568 40.735133, -73.84525 40.740166)))","POLYGON ((-73.84525 40.740166, -73.841925 40.741763999999996, -73.835925 40.743500999999995, -73.827083 40.742642, -73.82498 40.743106, -73.821201 40.740921, -73.81653000000001 40.739601, -73.815128 40.739922, -73.815057 40.738987, -73.813222 40.73876, -73.80941399999999 40.738603, -73.810482 40.736992, -73.81239099999999 40.737066999999996, -73.812122 40.733748999999996, -73.810687 40.733681999999995, -73.812279 40.73222, -73.810886 40.727171999999996, -73.809342 40.720957, -73.809786 40.719722, -73.80904 40.719912, -73.80860500000001 40.71841500000001, -73.811835 40.717873, -73.812118 40.719062, -73.819305 40.717135999999996, -73.820054 40.716809999999995, -73.82556699999999 40.716150999999996, -73.829684 40.716945, -73.83161199999999 40.717831, -73.83583899999999 40.722533999999996, -73.837768 40.726697, -73.839607 40.729133, -73.842748 40.732113, -73.844568 40.735133, -73.84525 40.740166))",POINT (-73.82516484374997 40.72939865625),"{""type"": ""Polygon"", ""coordinates"": [[[-73.84525, 40.740166], [-73.841925, 40.741763999999996], [-73.835925, 40.743500999999995], [-73.827083, 40.742642], [-73.82498, 40.743106], [-73.821201, 40.740921], [-73.81653000000001, 40.739601], [-73.815128, 40.739922], [-73.815057, 40.738987], [-73.813222, 40.73876], [-73.80941399999999, 40.738603], [-73.810482, 40.736992], [-73.81239099999999, 40.737066999999996], [-73.812122, 40.733748999999996], [-73.810687, 40.733681999999995], [-73.812279, 40.73222], [-73.810886, 40.727171999999996], [-73.809342, 40.720957], [-73.809786, 40.719722], [-73.80904, 40.719912], [-73.80860500000001, 40.71841500000001], [-73.811835, 40.717873], [-73.812118, 40.719062], [-73.819305, 40.717135999999996], [-73.820054, 40.716809999999995], [-73.82556699999999, 40.716150999999996], [-73.829684, 40.716945], [-73.83161199999999, 40.717831], [-73.83583899999999, 40.722533999999996], [-73.837768, 40.726697], [-73.839607, 40.729133], [-73.842748, 40.732113], [-73.844568, 40.735133], [-73.84525, 40.740166]]]}",566,936.0,60.47
9,11420,"MULTIPOLYGON (((-73.83589599999999 40.675754, -73.832078 40.675261, -73.83094 40.67812, -73.831746 40.679536999999996, -73.813592 40.68471, -73.80801699999999 40.687059999999995, -73.805891 40.682897, -73.80139299999999 40.673117, -73.80166 40.666756, -73.810322 40.66708, -73.811306 40.664125, -73.812067 40.663031, -73.81333699999999 40.662805999999996, -73.823008 40.663835999999996, -73.826832 40.663709, -73.83270499999999 40.665406, -73.83331199999999 40.666759, -73.836981 40.674678, -73.83589599999999 40.675754)))","POLYGON ((-73.83589599999999 40.675754, -73.832078 40.675261, -73.83094 40.67812, -73.831746 40.679536999999996, -73.813592 40.68471, -73.80801699999999 40.687059999999995, -73.805891 40.682897, -73.80139299999999 40.673117, -73.80166 40.666756, -73.810322 40.66708, -73.811306 40.664125, -73.812067 40.663031, -73.81333699999999 40.662805999999996, -73.823008 40.663835999999996, -73.826832 40.663709, -73.83270499999999 40.665406, -73.83331199999999 40.666759, -73.836981 40.674678, -73.83589599999999 40.675754))",POINT (-73.81787468270261 40.673579966644034),"{""type"": ""Polygon"", ""coordinates"": [[[-73.83589599999999, 40.675754], [-73.832078, 40.675261], [-73.83094, 40.67812], [-73.831746, 40.679536999999996], [-73.813592, 40.68471], [-73.80801699999999, 40.687059999999995], [-73.805891, 40.682897], [-73.80139299999999, 40.673117], [-73.80166, 40.666756], [-73.810322, 40.66708], [-73.811306, 40.664125], [-73.812067, 40.663031], [-73.81333699999999, 40.662805999999996], [-73.823008, 40.663835999999996], [-73.826832, 40.663709], [-73.83270499999999, 40.665406], [-73.83331199999999, 40.666759], [-73.836981, 40.674678], [-73.83589599999999, 40.675754]]]}",603,939.0,64.22
